GEOGID,GEOGTYPE,GEOGDESC,T1_1AGE0M,T1_1AGE1M,T1_1AGE2M,T1_1AGE3M,T1_1AGE4M,T1_1AGE5M,T1_1AGE6M,T1_1AGE7M,T1_1AGE8M,T1_1AGE9M,T1_1AGE10M,T1_1AGE11M,T1_1AGE12M,T1_1AGE13M,T1_1AGE14M,T1_1AGE15M,T1_1AGE16M,T1_1AGE17M,T1_1AGE18M,T1_1AGE19M,T1_1AGE20_24M,T1_1AGE25_29M,T1_1AGE30_34M,T1_1AGE35_39M,T1_1AGE40_44M,T1_1AGE45_49M,T1_1AGE50_54M,T1_1AGE55_59M,T1_1AGE60_64M,T1_1AGE65_69M,T1_1AGE70_74M,T1_1AGE75_79M,T1_1AGE80_84M,T1_1AGEGE_85M,T1_1AGETM,T1_1AGE0F,T1_1AGE1F,T1_1AGE2F,T1_1AGE3F,T1_1AGE4F,T1_1AGE5F,T1_1AGE6F,T1_1AGE7F,T1_1AGE8F,T1_1AGE9F,T1_1AGE10F,T1_1AGE11F,T1_1AGE12F,T1_1AGE13F,T1_1AGE14F,T1_1AGE15F,T1_1AGE16F,T1_1AGE17F,T1_1AGE18F,T1_1AGE19F,T1_1AGE20_24F,T1_1AGE25_29F,T1_1AGE30_34F,T1_1AGE35_39F,T1_1AGE40_44F,T1_1AGE45_49F,T1_1AGE50_54F,T1_1AGE55_59F,T1_1AGE60_64F,T1_1AGE65_69F,T1_1AGE70_74F,T1_1AGE75_79F,T1_1AGE80_84F,T1_1AGEGE_85F,T1_1AGETF,T1_1AGE0T,T1_1AGE1T,T1_1AGE2T,T1_1AGE3T,T1_1AGE4T,T1_1AGE5T,T1_1AGE6T,T1_1AGE7T,T1_1AGE8T,T1_1AGE9T,T1_1AGE10T,T1_1AGE11T,T1_1AGE12T,T1_1AGE13T,T1_1AGE14T,T1_1AGE15T,T1_1AGE16T,T1_1AGE17T,T1_1AGE18T,T1_1AGE19T,T1_1AGE20_24T,T1_1AGE25_29T,T1_1AGE30_34T,T1_1AGE35_39T,T1_1AGE40_44T,T1_1AGE45_49T,T1_1AGE50_54T,T1_1AGE55_59T,T1_1AGE60_64T,T1_1AGE65_69T,T1_1AGE70_74T,T1_1AGE75_79T,T1_1AGE80_84T,T1_1AGEGE_85T,T1_1AGETT,T1_2SGLM,T1_2MARM,T1_2SEPM,T1_2DIVM,T1_2WIDM,T1_2TM,T1_2SGLF,T1_2MARF,T1_2SEPF,T1_2DIVF,T1_2WIDF,T1_2TF,T1_2SGLT,T1_2MART,T1_2SEPT,T1_2DIVT,T1_2WIDT,T1_2T,T2_1IEBP,T2_1UKBP,T2_1PLBP,T2_1LTBP,T2_1EUBP,T2_1RWBP,T2_1NSBP,T2_1TBP,T2_1IEN,T2_1UKN,T2_1PLN,T2_1LTN,T2_1EUN,T2_1RWN,T2_1NSN,T2_1TN,T2_2WI,T2_2WIT,T2_2OW,T2_2BBI,T2_2AAI,T2_2OTH,T2_2NS,T2_2T,T2_3SA,T2_3EC,T2_3EI,T2_3OI,T2_3T,T2_4CA,T2_4OR,T2_4NR,T2_4NS,T2_4T,T2_5T,T2_5PL,T2_5FR,T2_5LT,T2_5OTH,T2_6T,T2_6VW,T2_6W,T2_6NW,T2_6NAA,T2_6NS,T3_1YES,T3_1NO,T3_1NS,T3_1T,T3_2T,T3_2DW,T3_2DWO,T3_2DO,T3_2WO,T3_2LO,T3_2NO,T3_2NSO,T3_3DM,T3_3WM,T3_3LOM,T3_3NM,T3_3TM,T3_3DF,T3_3WF,T3_3LOF,T3_3NF,T3_3TF,T3_3DT,T3_3WT,T3_3LOT,T3_3NT,T3_3TT,T4_1_2PF,T4_1_3PF,T4_1_4PF,T4_1_5PF,T4_1_GRE_6PF,T4_1_TF,T4_1_2PP,T4_1_3PP,T4_1_4PP,T4_1_5PP,T4_1_GRE_6PP,T4_1_TP,T4_1_2PC,T4_1_3PC,T4_1_4PC,T4_1_5PC,T4_1_GRE_6PC,T4_1_TC,T4_2_NCU15,T4_2_1CU15,T4_2_2CU15,T4_2_3CU15,T4_2_4CU15,T4_2_GE5U15,T4_2_NCO15,T4_2_1CO15,T4_2_2CO15,T4_2_3CO15,T4_2_4CO15,T4_2_GE5O15,T4_2_NCUO15,T4_2_1CUO15,T4_2_2CUO15,T4_2_3CUO15,T4_2_4CUO15,T4_2_GE5UO15,T4_2_NCT,T4_2_1CT,T4_2_2CT,T4_2_3CT,T4_2_4CT,T4_2_GE5T,T4_3FLT15C,T4_3FGE15C,T4_3FOTH15C,T4_3FTC,T4_3FLT15LM,T4_3FGE15LM,T4_3FOTH15LM,T4_3FTLM,T4_3FLT15LF,T4_3FGE15LF,T4_3FOTH15LF,T4_3FTLF,T4_3CLT15C,T4_3CGE15C,T4_3COTH15C,T4_3CTC,T4_3CLT15LM,T4_3CGE15LM,T4_3COTH15LM,T4_3CTLM,T4_3CLT15LF,T4_3CGE15LF,T4_3COTH15LF,T4_3CTLF,T4_4AGE0_4F,T4_4AGE5_9F,T4_4AGE10_14F,T4_4AGE15_19F,T4_4AGE_GE20F,T4_4TF,T4_4AGE0_4P,T4_4AGE5_9P,T4_4AGE10_14P,T4_4AGE15_19P,T4_4AGE_GE20P,T4_4TP,T4_5PFF,T4_5ENF,T4_5RF,T4_5PSF,T4_5ESF,T4_5PAF,T4_5ADOF,T4_5ADUF,T4_5TF,T4_5PFP,T4_5ENP,T4_5RP,T4_5PSP,T4_5ESP,T4_5PAP,T4_5ADOP,T4_5ADUP,T4_5TP,T4_6_0C,T4_6_1C,T4_6_2C,T4_6_3C,T4_6_GE4C,T4_6T,T5_1OP_H,T5_1HW_H,T5_1CC_H,T5_1HWC_H,T5_1CCC_H,T5_1FC_H,T5_1MC_H,T5_1CO_H,T5_1CCO_H,T5_1FCO_H,T5_1MCO_H,T5_1GETFU_H,T5_1NHR_H,T5_1GENP_H,T5_1T_H,T5_1OP_P,T5_1HW_P,T5_1CC_P,T5_1HWC_P,T5_1CCC_P,T5_1FC_P,T5_1MC_P,T5_1CO_P,T5_1CCO_P,T5_1FCO_P,T5_1MCO_P,T5_1GETFU_P,T5_1NHR_P,T5_1GENP_P,T5_1T_P,T5_2_1PH,T5_2_2PH,T5_2_3PH,T5_2_4PH,T5_2_5PH,T5_2_6PH,T5_2_7PH,T5_2_GE8H,T5_2_TH,T5_2_1PP,T5_2_2PP,T5_2_3PP,T5_2_4PP,T5_2_5PP,T5_2_6PP,T5_2_7PP,T5_2_GE8P,T5_2_TP,T6_1_HB_H,T6_1_FA_H,T6_1_BS_H,T6_1_CM_H,T6_1_NS_H,T6_1_TH,T6_1_HB_P,T6_1_FA_P,T6_1_BS_P,T6_1_CM_P,T6_1_NS_P,T6_1_TP,T6_2_PRE19H,T6_2_19_45H,T6_2_46_60H,T6_2_61_70H,T6_2_71_80H,T6_2_81_90H,T6_2_91_00H,T6_2_01_05H,T6_2_06LH,T6_2_NSH,T6_2_TH,T6_2_PRE19P,T6_2_19_45P,T6_2_46_60P,T6_2_61_70P,T6_2_71_80P,T6_2_81_90P,T6_2_91_00P,T6_2_01_05P,T6_2_06LP,T6_2_NSP,T6_2_TP,T6_3_OOMH,T6_3_OCNMH,T6_3_RPLH,T6_3_RLAH,T6_3_RVBH,T6_3_OFRH,T6_3_NSH,T6_3_TH,T6_3_OOMP,T6_3_OCNMP,T6_3_RPLP,T6_3_RLAP,T6_3_RVBP,T6_3_OFRP,T6_3_NSP,T6_3_TP,T6_4_1RH,T6_4_2RH,T6_4_3RH,T6_4_4RH,T6_4_5RH,T6_4_6RH,T6_4_7RH,T6_4_GE8RH,T6_4_NSH,T6_4_TH,T6_4_1RP,T6_4_2RP,T6_4_3RP,T6_4_4RP,T6_4_5RP,T6_4_6RP,T6_4_7RP,T6_4_GE8RP,T6_4_NSP,T6_4_TP,T6_5_NCH,T6_5_OCH,T6_5_NGCH,T6_5_ECH,T6_5_CCH,T6_5_PCH,T6_5_LPGCH,T6_5_WCH,T6_5_OTH,T6_5_NS,T6_5_T,T6_6_PM,T6_6_GSLA,T6_6_GSP,T6_6_OP,T6_6_N,T6_6_NS,T6_6_T,T6_7_PS,T6_7_IST,T6_7_OIT,T6_7_OTH,T6_7_NSF,T6_7_NS,T6_7_T,T6_8_O,T6_8_U,T6_8_T,T7_1_NE,T7_1_NP,T8_1_WM,T8_1_LFFJM,T8_1_ULGUPJM,T8_1_SM,T8_1_LAHFM,T8_1_RM,T8_1_UTWSDM,T8_1_OTHM,T8_1_TM,T8_1_WF,T8_1_LFFJF,T8_1_ULGUPJF,T8_1_SF,T8_1_LAHFF,T8_1_RF,T8_1_UTWSDF,T8_1_OTHF,T8_1_TF,T8_1_WT,T8_1_LFFJT,T8_1_ULGUPJT,T8_1_ST,T8_1_LAHFT,T8_1_RT,T8_1_UTWSDT,T8_1_OTHT,T8_1_TT,T9_1_PWM,T9_1_MTM,T9_1_NMM,T9_1_SM,T9_1_SSM,T9_1_USM,T9_1_OTHGEUM,T9_1_TM,T9_1_PWF,T9_1_MTF,T9_1_NMF,T9_1_SF,T9_1_SSF,T9_1_USF,T9_1_OTHGEUF,T9_1_TF,T9_1_PWT,T9_1_MTT,T9_1_NMT,T9_1_ST,T9_1_SST,T9_1_UST,T9_1_OTHGEUT,T9_1_TT,T9_2_HA,T9_2_HB,T9_2_HC,T9_2_HD,T9_2_HE,T9_2_HF,T9_2_HG,T9_2_HH,T9_2_HI,T9_2_HJ,T9_2_HZ,T9_2_HT,T9_2_PA,T9_2_PB,T9_2_PC,T9_2_PD,T9_2_PE,T9_2_PF,T9_2_PG,T9_2_PH,T9_2_PI,T9_2_PJ,T9_2_PZ,T9_2_PT,T10_1_LT15M,T10_1_15M,T10_1_16M,T10_1_17M,T10_1_18M,T10_1_19M,T10_1_20M,T10_1_GE21M,T10_1_NSM,T10_1_TM,T10_1_LT15F,T10_1_15F,T10_1_16F,T10_1_17F,T10_1_18F,T10_1_19F,T10_1_20F,T10_1_GE21F,T10_1_NSF,T10_1_TF,T10_1_LT15T,T10_1_15T,T10_1_16T,T10_1_17T,T10_1_18T,T10_1_19T,T10_1_20T,T10_1_GE21T,T10_1_NST,T10_1_TT,T10_2_SASM,T10_2_OTHM,T10_2_SASF,T10_2_OTHF,T10_2_SAST,T10_2_OTHT,T10_3_EDUM,T10_3_ARTM,T10_3_HUMM,T10_3_SOCM,T10_3_SCIM,T10_3_ENGM,T10_3_AGRM,T10_3_HEAM,T10_3_SERM,T10_3_OTHM,T10_3_NSM,T10_3_TM,T10_3_EDUF,T10_3_ARTF,T10_3_HUMF,T10_3_SOCF,T10_3_SCIF,T10_3_ENGF,T10_3_AGRF,T10_3_HEAF,T10_3_SERF,T10_3_OTHF,T10_3_NSF,T10_3_TF,T10_3_EDUT,T10_3_ARTT,T10_3_HUMT,T10_3_SOCT,T10_3_SCIT,T10_3_ENGT,T10_3_AGRT,T10_3_HEAT,T10_3_SERT,T10_3_OTHT,T10_3_NST,T10_3_TT,T10_4_NFM,T10_4_PM,T10_4_LSM,T10_4_USM,T10_4_TVM,T10_4_ACCAM,T10_4_HCM,T10_4_ODNDM,T10_4_HDPQM,T10_4_PDM,T10_4_DM,T10_4_NSM,T10_4_TM,T10_4_NFF,T10_4_PF,T10_4_LSF,T10_4_USF,T10_4_TVF,T10_4_ACCAF,T10_4_HCF,T10_4_ODNDF,T10_4_HDPQF,T10_4_PDF,T10_4_DF,T10_4_NSF,T10_4_TF,T10_4_NFT,T10_4_PT,T10_4_LST,T10_4_UST,T10_4_TVT,T10_4_ACCAT,T10_4_HCT,T10_4_ODNDT,T10_4_HDPQT,T10_4_PDT,T10_4_DT,T10_4_NST,T10_4_TT,T11_1_F,T11_1_BI,T11_1_BU,T11_1_TDL,T11_1_M,T11_1_CD,T11_1_CP,T11_1_V,T11_1_OTH,T11_1_NS,T11_1_T,T11_2_T1,T11_2_T2,T11_2_T3,T11_2_T4,T11_2_T5,T11_2_T6,T11_2_T7,T11_2_T8,T11_2_NS,T11_2_T,T11_3_D1,T11_3_D2,T11_3_D3,T11_3_D4,T11_3_D5,T11_3_D6,T11_3_NS,T11_3_T,T12_1AGE0_14,T12_1AGE15_24,T12_1AGE25_44,T12_1AGE45_64,T12_1AGEGE65,T12_1AGET,T12_21_14M,T12_215_28M,T12_229_42M,T12_2GE43M,T12_2NSM,T12_2TM,T12_21_14F,T12_215_28F,T12_229_42F,T12_2GE43F,T12_2NSF,T12_2TF,T12_3VGM,T12_3GM,T12_3FM,T12_3BM,T12_3VBM,T12_3NSM,T12_3TM,T12_3VGF,T12_3GF,T12_3FF,T12_3BF,T12_3VBF,T12_3NSF,T12_3TF,T12_3VGT,T12_3GT,T12_3FT,T12_3BT,T12_3VBT,T12_3NST,T12_3TT,T13_1_MDSOM,T13_1_POM,T13_1_APTOM,T13_1_ASOM,T13_1_STOM,T13_1_CLOSOM,T13_1_SCSOM,T13_1_PPMOM,T13_1_EOM,T13_1_NSM,T13_1_TM,T13_1_MDSOF,T13_1_POF,T13_1_APTOF,T13_1_ASOF,T13_1_STOF,T13_1_CLOSOF,T13_1_SCSOF,T13_1_PPMOF,T13_1_EOF,T13_1_NSF,T13_1_TF,T13_1_MDSOT,T13_1_POT,T13_1_APTOT,T13_1_ASOT,T13_1_STOT,T13_1_CLOSOT,T13_1_SCSOT,T13_1_PPMOT,T13_1_EOT,T13_1_NST,T13_1_TT,T14_1_AFFM,T14_1_BCM,T14_1_MIM,T14_1_CTM,T14_1_TCM,T14_1_PAM,T14_1_PSM,T14_1_OTHM,T14_1_TM,T14_1_AFFF,T14_1_BCF,T14_1_MIF,T14_1_CTF,T14_1_TCF,T14_1_PAF,T14_1_PSF,T14_1_OTHF,T14_1_TF,T15_1_NC,T15_1_1C,T15_1_2C,T15_1_3C,T15_1_GE4C,T15_2_Y,T15_2_N,T15_2_NS,T15_2_T,T15_3_B,T15_3_OTH,T15_3_N,T15_3_NS,T15_3_T
B2,RE,Derry (Part of),444,431,465,442,381,443,424,433,386,412,398,395,366,403,361,381,340,372,325,288,1419,1466,1874,1878,1807,1499,1395,1358,1248,1078,729,483,288,217,24629,403,412,434,441,419,396,365,371,367,391,409,382,397,363,339,343,352,339,308,282,1368,1655,1852,1844,1732,1591,1433,1307,1242,960,716,576,425,430,24644,847,843,899,883,800,839,789,804,753,803,807,777,763,766,700,724,692,711,633,570,2787,3121,3726,3722,3539,3090,2828,2665,2490,2038,1445,1059,713,647,49273,13639,9646,488,407,449,24629,12209,9692,629,523,1591,24644,25848,19338,1117,930,2040,49273,35974,10802,453,189,353,745,0,48516,44853,1919,472,196,357,357,362,48516,44960,89,2660,63,213,169,362,48516,45579,1312,210,584,47685,44205,3441,1356,271,49273,1796,465,202,172,957,1796,770,521,342,78,85,12795,33374,515,46684,12795,5219,323,286,702,3533,2625,107,79,19,20,20,138,100,42,22,21,185,179,61,42,41,323,4651,2752,2746,1665,977,12791,9302,8256,10984,8325,6336,43203,1427,3381,5746,5102,4431,20087,0,1606,1706,870,274,94,0,1944,1013,369,113,40,0,0,402,573,338,225,3224,3550,3121,1812,725,359,3463,2357,1281,7101,1009,895,234,2138,78,227,23,328,7496,4123,4316,15935,1577,1291,755,3623,138,329,62,529,3097,1640,1351,1224,2255,9567,12659,6890,5627,4620,6959,36755,822,1357,1045,1466,1557,1527,1687,3330,12791,1644,2714,2090,4657,6089,6478,7216,12315,43203,4097,2066,3288,2793,4345,16589,4181,2653,370,6281,496,297,1860,147,226,23,120,157,346,139,17296,4181,5306,740,26884,1928,778,5093,474,1182,86,446,882,775,322,49077,4181,4622,2838,2806,1752,708,261,128,17296,4181,9244,8514,11224,8760,4248,1827,1079,49077,16522,530,8,52,184,17296,47681,792,11,84,509,49077,1458,756,906,835,2094,2110,2645,3547,2498,395,17244,3144,1643,1914,1927,5368,6566,9186,11186,7010,1049,48993,5866,7266,2042,1367,119,417,167,17244,20359,18525,4832,3786,247,828,416,48993,72,509,1229,1794,4065,3815,2489,2723,548,17244,89,766,2512,3929,10664,11324,8356,9933,1420,48993,148,11693,82,278,2431,2112,39,221,128,112,17244,13335,1783,238,1488,21,379,17244,7228,8624,649,269,24,450,17244,17403,6019,23422,35,400,8125,285,4088,1876,248,2749,1046,28,18445,7187,197,1717,2055,4138,2516,899,46,18755,15312,482,5805,3931,4386,5265,1945,74,37200,1290,5138,3322,6345,3370,1408,3756,24629,986,6005,5265,3756,3139,950,4543,24644,2276,11143,8587,10101,6509,2358,8299,49273,2103,632,1594,2578,1976,1627,891,1217,1426,190,3062,17296,6761,1867,4472,7062,5975,4655,2356,3967,4249,521,7192,49077,2893,1738,2192,1316,1327,402,401,1863,3710,15842,2340,1305,1630,1294,1505,606,615,2727,3891,15913,5233,3043,3822,2610,2832,1008,1016,4590,7601,31755,1876,727,2055,787,3931,1514,231,180,183,777,481,2264,812,240,426,8,10240,15842,972,200,215,1922,533,151,73,1840,929,13,9065,15913,1203,380,398,2699,1014,2415,885,2080,1355,21,19305,31755,489,4225,3679,2427,1022,813,517,612,811,575,49,623,15842,398,3572,2762,2635,1365,495,727,958,1301,983,50,667,15913,887,7797,6441,5062,2387,1308,1244,1570,2112,1558,99,1290,31755,2128,100,4525,37,25,9714,6086,1892,1199,814,26520,733,983,1452,3376,5024,6573,4646,1808,930,25525,10713,6908,3844,1107,895,530,1528,25525,595,461,1238,1842,2334,6470,327,128,59,170,111,795,463,228,98,382,113,1284,14466,7106,2333,329,60,335,24629,14355,7234,2363,345,78,269,24644,28821,14340,4696,674,138,604,49273,819,968,952,342,4597,240,431,1517,1346,1001,12213,459,1602,583,1638,310,1548,1023,301,738,702,8904,1278,2570,1535,1980,4907,1788,1454,1818,2084,1703,21117,1274,1063,1038,1542,669,556,907,1076,8125,88,71,296,1670,196,603,2927,1336,7187,2620,8031,5440,884,269,11358,5651,235,17244,9619,1309,6025,291,17244
B3,RE,Raphoe,833,835,846,854,860,846,828,854,786,799,782,802,828,827,826,825,720,747,693,589,3154,3294,3711,3912,3859,3614,3159,3090,2922,2479,1775,1349,865,641,53804,788,818,807,808,752,741,771,812,786,760,704,819,802,793,734,756,744,693,602,572,3015,3454,4018,3921,3967,3665,3208,2979,2771,2286,1841,1397,1107,1142,53833,1621,1653,1653,1662,1612,1587,1599,1666,1572,1559,1486,1621,1630,1620,1560,1581,1464,1440,1295,1161,6169,6748,7729,7833,7826,7279,6367,6069,5693,4765,3616,2746,1972,1783,107637,30032,20645,1235,818,1074,53804,26558,20833,1517,1087,3838,53833,56590,41478,2752,1905,4912,107637,84223,16111,1434,147,962,2734,0,105611,95572,4749,1528,162,881,1859,860,105611,94771,606,6699,871,1035,519,1110,105611,98815,3360,852,979,104006,89730,13276,3637,994,107637,5860,1444,713,148,3555,5860,3071,1605,774,183,227,44749,56589,1372,102710,44749,12620,2394,6621,3612,12690,6364,448,912,86,57,33,1088,1081,106,69,50,1306,1993,192,126,83,2394,10637,6035,5782,3319,1761,27534,21274,18105,23128,16595,11311,90413,3187,7423,12092,10128,7874,40704,0,3572,3409,1723,508,144,0,4262,2284,763,205,64,0,0,949,1190,648,363,7450,7834,6642,3676,1361,571,7057,5131,2537,14725,2159,1921,554,4634,140,526,59,725,14926,8841,8240,32007,3210,2722,1649,7581,211,721,184,1116,6080,3431,2995,2574,5004,20084,24301,14131,12088,9645,15348,75513,2036,3016,2398,2955,3138,3263,3501,7227,27534,4072,6032,4796,9177,12073,13510,14590,26163,90413,10333,4700,7270,5911,9009,37223,10205,5902,1059,12907,1032,638,3948,323,554,52,304,402,1024,721,39071,10205,11804,2118,54396,3915,1640,10639,1020,2881,185,1088,2155,2289,1745,106080,10205,10872,6385,6049,3530,1392,433,205,39071,10205,21744,19155,24196,17650,8352,3031,1747,106080,36921,1365,23,187,575,39071,102223,2086,33,317,1421,106080,3488,1890,1880,2157,4968,5036,6249,6933,5085,1198,38884,7550,3930,3965,4771,12228,14655,20293,21259,14171,2941,105763,12178,16771,5091,3262,283,865,434,38884,40902,40978,11899,8783,544,1706,951,105763,245,1232,3059,4390,9131,7581,5487,6421,1338,38884,328,1827,6193,9685,22732,21396,17588,22927,3087,105763,522,27077,463,937,4155,4344,190,609,244,343,38884,29900,4396,670,2841,60,1017,38884,14820,21326,1297,315,52,1074,38884,39288,18204,57492,90,1979,19032,528,7538,4280,576,6988,2395,61,41398,17492,343,3649,4604,7632,6190,2115,113,42138,36524,871,11187,8884,8208,13178,4510,174,83536,3158,12108,7177,11501,7118,3113,9629,53804,2510,14114,11387,6341,6516,2017,10948,53833,5668,26222,18564,17842,13634,5130,20577,107637,4246,1596,4367,6367,3879,3833,1960,2253,2530,337,7703,39071,12847,4690,11745,17081,11605,10687,5013,6962,6947,865,17638,106080,5593,2736,4172,2817,3317,1102,977,5062,9601,35377,4110,1964,3031,2974,3946,1440,1430,6750,9995,35640,9703,4700,7203,5791,7263,2542,2407,11812,19596,71017,4280,1741,4604,1894,8884,3635,696,433,445,1923,1303,5094,1673,711,1131,24,21944,35377,2347,505,526,4231,1550,374,180,4425,2032,23,19447,35640,3043,938,971,6154,2853,5468,1853,5136,3163,47,41391,71017,1148,8409,7170,6028,2330,2160,1280,1753,1954,1461,164,1520,35377,875,6643,5431,6608,3111,1370,1801,2614,2987,2418,96,1686,35640,2023,15052,12601,12636,5441,3530,3081,4367,4941,3879,260,3206,71017,5311,215,8165,66,49,25069,13101,3741,2373,1976,60066,1275,1869,2958,6796,10754,16382,11207,4676,2283,58200,26602,16505,6795,2232,1638,760,3668,58200,1364,1015,2720,4435,5942,15476,855,329,199,440,224,2047,1134,549,274,808,331,3096,31045,15618,5394,791,158,798,53804,31186,15484,5379,824,162,798,53833,62231,31102,10773,1615,320,1596,107637,1900,2658,2384,729,7865,527,1172,3606,2952,2777,26570,1081,4400,1412,3821,700,3109,2093,748,1870,1907,21141,2981,7058,3796,4550,8565,3636,3265,4354,4822,4684,47711,2319,1818,2609,4035,1733,1332,2417,2769,19032,161,117,936,3962,530,1328,7172,3286,17492,6164,17111,12694,2167,748,25607,12585,692,38884,21814,3240,13059,771,38884
B4,RE,Clogher (Part of),508,511,541,565,489,494,477,452,476,456,454,459,481,494,468,443,487,445,412,368,1893,2336,2543,2463,2274,2128,2002,1853,1677,1280,914,746,437,316,32342,510,499,537,502,485,464,466,440,421,418,434,425,447,404,419,442,422,445,388,345,1919,2363,2425,2327,2191,2167,2000,1678,1611,1218,986,870,631,673,31972,1018,1010,1078,1067,974,958,943,892,897,874,888,884,928,898,887,885,909,890,800,713,3812,4699,4968,4790,4465,4295,4002,3531,3288,2498,1900,1616,1068,989,64314,18022,12526,689,516,589,32342,15481,12521,828,742,2400,31972,33503,25047,1517,1258,2989,64314,50071,7335,1086,2321,1305,1536,0,63654,55976,1186,1185,2418,1314,1133,442,63654,55440,280,6122,328,493,335,656,63654,59273,1919,734,714,62640,55864,6356,1623,471,64314,6895,1189,584,2215,2907,6895,2148,2294,1818,347,288,23586,36834,788,61208,23586,8012,530,450,1326,7503,5546,219,126,42,34,28,230,184,48,45,23,300,310,90,79,51,530,5999,3763,3495,2095,1160,16512,11998,11289,13980,10475,7476,55218,1709,4500,7272,6370,5197,25048,0,2063,1976,1031,343,89,0,2672,1412,563,139,57,0,0,562,698,402,215,4290,4735,3950,2292,884,361,4445,3342,1581,9368,976,1178,263,2417,81,323,33,437,9410,5877,5169,20456,1421,1689,767,3877,129,479,107,715,3696,1918,1765,1609,3234,12222,14991,8066,7351,6164,10066,46638,1367,1623,1300,1907,1778,1817,2040,4680,16512,2734,3246,2600,6206,7084,7617,8503,17228,55218,6158,2819,4458,3631,5366,22432,5515,3282,625,8100,690,377,2060,262,429,35,169,241,600,330,22715,5515,6564,1250,34288,2641,994,5455,851,2213,138,647,1319,1374,821,64070,5515,6006,3910,3644,2268,951,259,162,22715,5515,12012,11730,14576,11340,5706,1813,1378,64070,21354,971,27,92,271,22715,61359,1758,44,161,748,64070,2752,1779,1379,1201,3224,2517,2936,3591,2609,635,22623,6240,3954,3255,2854,8536,8147,10040,11455,7675,1753,63909,7824,9103,3111,1659,179,514,233,22623,27332,22290,8116,4282,399,946,544,63909,190,776,1654,1999,4905,4276,3623,4375,825,22623,307,1254,3464,4438,12559,12022,11760,16054,2051,63909,276,17502,1112,966,1645,195,196,435,141,155,22623,10636,5120,3176,3202,46,443,22623,9560,10908,1365,142,47,601,22623,22703,5161,27864,63,1013,13168,272,4056,2551,260,3362,1266,82,25017,11082,228,1931,2811,4633,3173,1119,124,25101,24250,500,5987,5362,4893,6535,2385,206,50118,1622,6848,4461,8619,4405,1782,4605,32342,1233,8270,6569,4671,4187,1473,5569,31972,2855,15118,11030,13290,8592,3255,10174,64314,2699,742,1918,3249,2900,2311,1005,1336,2406,369,3780,22715,8557,2258,5286,8833,8859,6723,2755,4232,7076,1013,8478,64070,2984,2033,2961,1791,2674,798,762,2764,4602,21369,2074,1207,2067,1814,3010,1022,938,4095,4815,21042,5058,3240,5028,3605,5684,1820,1700,6859,9417,42411,2551,1097,2811,1248,5362,2345,363,196,218,1033,444,3785,1725,330,629,11,12635,21369,1299,304,276,2812,560,343,236,2689,1305,12,11206,21042,1662,500,494,3845,1004,4128,1961,3019,1934,23,23841,42411,428,4431,5414,3655,1860,1609,689,974,1026,617,36,630,21369,349,3576,3690,4129,2210,825,1100,1533,1749,1176,33,672,21042,777,8007,9104,7784,4070,2434,1789,2507,2775,1793,69,1302,42411,4167,172,4338,75,32,15529,7835,2812,2182,1081,38223,1984,1890,2485,5426,6825,10084,4032,2455,1262,36443,15356,10365,4761,1462,1338,898,2263,36443,622,488,1454,2214,3062,7840,503,175,83,195,154,1110,715,288,148,412,191,1754,19497,9091,2867,357,57,473,32342,18928,9115,3053,371,88,417,31972,38425,18206,5920,728,145,890,64314,1335,1308,1173,335,6375,259,453,2868,1740,1378,17224,699,2418,830,2331,502,1866,1172,782,1359,1054,13013,2034,3726,2003,2666,6877,2125,1625,3650,3099,2432,30237,2312,1453,2563,2488,925,700,1121,1606,13168,570,110,996,2652,269,726,4007,1752,11082,3286,9336,7763,1637,601,15057,7260,306,22623,12181,2296,7754,392,22623
